query_id,before,after,delta
S1-19,1.0,0.0,-1.0
S1-25,1.0,0.0,-1.0
S1-01,1.0,1.0,0.0
S1-02,0.0,0.0,0.0
S1-03,1.0,1.0,0.0
S1-04,1.0,1.0,0.0
S1-05,1.0,1.0,0.0
S1-06,1.0,1.0,0.0
S1-07,1.0,1.0,0.0
S1-08,1.0,1.0,0.0
S1-09,1.0,1.0,0.0
S1-10,1.0,1.0,0.0
S1-11,1.0,1.0,0.0
S1-12,1.0,1.0,0.0
S1-13,1.0,1.0,0.0
S1-15,1.0,1.0,0.0
S1-16,0.0,0.0,0.0
S1-17,0.0,0.0,0.0
S1-20,1.0,1.0,0.0
S1-21,1.0,1.0,0.0
S1-22,1.0,1.0,0.0
S1-23,0.0,0.0,0.0
S1-24,1.0,1.0,0.0
S2-01,1.0,1.0,0.0
S2-02,1.0,1.0,0.0
S2-03,1.0,1.0,0.0
S2-04,0.0,0.0,0.0
S2-05,1.0,1.0,0.0
S2-06,1.0,1.0,0.0
S2-07,1.0,1.0,0.0
S2-08,1.0,1.0,0.0
S2-09,1.0,1.0,0.0
S2-10,1.0,1.0,0.0
S2-11,1.0,1.0,0.0
S2-12,1.0,1.0,0.0
S2-13,1.0,1.0,0.0
S2-15,1.0,1.0,0.0
S3-01,1.0,1.0,0.0
S3-02,1.0,1.0,0.0
S3-03,1.0,1.0,0.0
S3-04,1.0,1.0,0.0
S3-05,1.0,1.0,0.0
S3-06,1.0,1.0,0.0
S3-08,1.0,1.0,0.0
S3-09,1.0,1.0,0.0
S3-10,1.0,1.0,0.0
S1-14,0.0,1.0,1.0
S1-18,0.0,1.0,1.0
S2-14,0.0,1.0,1.0
S3-07,0.0,1.0,1.0
